campaign_name,adset_name,date,spend,impressions,clicks,ctr,purchases,revenue,roas,creative_type,creative_message,audience_type,platform,country
Men ComfortMax Launch,Adset-1 Retarget,2025-03-24,502.81,187613,1706.0,0.0091,68,1505.55,2.99,Image,"Push comfort, not wires — everyday men athletic briefs.",Retargeting,Instagram,IN
Men  ComfortMax  Launch,Adset-1 Retarget,2025-03-25,92.96,485516,12328.0,0.0254,321,11907.64,128.09,Image,Cooling mesh panels for workouts — men athletic briefs you’ll actually love.,Broad,Instagram,US
Men Comfortmax Launch,Adset-1 Retarget,2025-03-26,950.89,227458,3917.0,0.0172,98,2956.92,3.11,UGC,Summer‑ready essentials — sweat‑wicking men inner vests.,Lookalike,Instagram,US
Men ComfortMax Launch,Adset-1 Retarget,2025-03-27,64.47,182280,1848.0,0.0101,35,1137.84,17.65,Video,"Wire‑free ease, cloud‑soft cups — men boxers that fits right.",Broad,Facebook,US
Men_ComfortMax_Launch,Adset-1 Retarget,2025-03-28,377.92,386650,3818.0,0.0099,85,1853.27,4.9,Image,"Wire‑free ease, cloud‑soft cups — men boxers that fits right.",Broad,Instagram,IN
Men ComfortMax Launch,Adset-1 Retarget,2025-03-29,672.3,306938,3378.0,0.011,76,1543.14,2.3,UGC,Cooling mesh panels for workouts — men inner vests you’ll actually love.,Broad,Instagram,UK
MEN COMFORTMAX LAUNCH,Adset-1 Retarget,2025-03-30,751.5,46074,645.0,0.014,18,423.7,0.56,Carousel,Invisible under tees — seamless men trunks.,Broad,Instagram,US
men comfortmax launch,Adset-1 Retarget,2025-03-31,965.64,242270,3463.0,0.0143,38,1095.18,1.13,Carousel,Seamless confidence for every day — new men inner vests.,Broad,Facebook,US
Men ComfortMax Launch,Adset-2 LAL2,2025-01-01,175.78,449787,7247.0,0.0161,185,6546.78,37.24,Image,Seamless confidence for every day — new men inner vests.,Broad,Instagram,US
Men ComfortMax Launch,Adset-2 LAL2,2025-01-02,501.55,346733,5649.0,0.0163,153,2835.42,5.65,Image,Stretch that snaps back — durable men athletic briefs.,Lookalike,Facebook,UK
Men ComfortMax L unch,Adset-2 LAL2,2025-01-03,793.98,343595,5307.0,0.0154,117,4387.64,5.53,Image,Stretch that snaps back — durable men briefs.,Broad,Instagram,US
Men  ComfortMax  Launch,Adset-2 LAL2,2025-01-04,563.98,116132,1904.0,0.0164,50,917.55,1.63,Image,Hot & comfy: men briefs now 20% off — feel the difference.,Broad,Facebook,IN
Men Comfortmax Launch,Adset-2 LAL2,2025-01-05,,25478,423.0,0.0166,7,205.65,1.54,Carousel,"Push comfort, not wires — everyday men inner vests.",Broad,Facebook,IN
Men ComfortMax Launch,Adset-2 LAL2,2025-01-06,877.96,329067,4573.0,0.0139,0,1608.94,1.83,UGC,Doctors recommend breathable bamboo — meet our men athletic briefs.,Broad,Instagram,US
MEN COMFORTMAX LAUNCH,Adset-2 LAL2,2025-01-07,622.65,83177,1288.0,0.0155,37,1559.66,2.5,Image,No ride‑up guarantee — best‑selling men briefs back in stock.,Broad,Facebook,IN
Men Comfortmax Launch,Adset-2 LAL2,2025-01-08,379.6,287150,6382.0,0.0222,110,2393.89,6.31,Video,"All‑day comfort, zero pinch — try our men athletic briefs!",Broad,Facebook,US
Men Comfortmax Launch,Adset-2 LAL2,2025-01-09,770.28,99213,1000.0,0.0101,26,925.3,1.2,Video,"Push comfort, not wires — everyday men boxers.",Lookalike,Instagram,UK
Men ComfortMax Launch,Adset-2 LAL2,2025-01-10,291.71,455936,8371.0,0.0184,266,6047.52,20.73,Image,Breathable modal that moves with you — limited offer on men trunks.,Broad,Instagram,US
Men ComfortMax Launch,Adset-2 LAL2,2025-01-11,393.24,206634,2821.0,0.0137,67,,3.83,Carousel,Breathable microfiber that moves with you — limited offer on men trunks.,Lookalike,Facebook,IN
Men ComfortMax Launch,Adset-2 LAL2,2025-01-12,317.69,192681,2995.0,0.0155,73,2622.1,8.25,Video,Breathable microfiber that moves with you — limited offer on men athletic briefs.,Retargeting,Instagram,UK
Men ComfortMax Launch,Adset-2 LAL2,2025-01-13,278.31,27841,467.0,0.0168,7,219.81,0.79,Image,Doctors recommend breathable organic cotton — meet our men boxers.,Lookalike,Instagram,UK
Men  ComfortMax  Launch,Adset-2 LAL2,2025-01-14,233.7,381919,6836.0,0.0179,141,3476.05,14.87,Image,Confidence starts inside — elevate with men inner vests.,Lookalike,Instagram,UK
Men ComfortMax Launch,Adset-2 LAL2,2025-01-15,550.92,364905,6402.0,0.0175,104,2885.61,5.24,Carousel,Cooling mesh panels for workouts — men briefs you’ll actually love.,Broad,Facebook,IN
Men ComfortMax Launch,Adset-2 LAL2,2025-01-16,1051.33,421733,6688.0,0.0159,187,4626.57,4.4,Image,Seamless confidence for every day — new men athletic briefs.,Broad,Instagram,US
Men ComfortMax Launch,Adset-2 LAL2,2025-01-17,316.89,513735,10241.0,0.0199,252,5764.63,18.19,Image,Stretch that snaps back — durable men athletic briefs.,Broad,Facebook,US
Mn ComfortMax Launch,Adset-2 LAL2,2025-01-18,891.21,481593,7293.0,0.0151,179,7388.25,8.29,Video,"Push comfort, not wires — everyday men athletic briefs.",Broad,Instagram,US
Men Comfortmax Launch,Adset-2 LAL2,2025-01-19,287.0,433089,8103.0,0.0187,174,4212.58,14.68,Image,"All‑day comfort, zero pinch — try our men athletic briefs!",Broad,Facebook,US
men comfortmax launch,Adset-2 LAL2,2025-01-20,122.96,172167,3472.0,0.0202,106,2820.27,22.94,Video,"Ultra‑soft waistband, no marks — premium men boxers.",Broad,Facebook,US
Men Comf-rtMax Launch,Adset-2 LAL2,2025-01-21,1143.57,324858,6062.0,0.0187,174,7543.74,6.6,Video,Stretch that snaps back — durable men trunks.,Lookalike,Facebook,US
MEN COMFORTMAX LAUNCH,Adset-2 LAL2,2025-01-22,774.02,455827,6536.0,0.0143,147,4318.37,5.58,Video,Invisible under tees — seamless men inner vests.,Lookalike,Instagram,US
Men ComfortMax Launch,Adset-2 LAL2,2025-01-23,119.39,68120,914.0,0.0134,18,468.01,3.92,Video,Stretch that snaps back — durable men inner vests.,Lookalike,Facebook,US
Men ComfortMax Launch,Adset-2 LAL2,2025-01-24,,57420,651.0,0.0113,0,656.68,,Video,"Ultra‑soft waistband, no marks — premium men athletic briefs.",Retargeting,Instagram,UK
Men Comfortmax Launch,Adset-2 LAL2,2025-01-25,806.61,490907,10057.0,0.0205,315,7631.85,9.46,Video,Invisible under tees — seamless men trunks.,Lookalike,Instagram,US
MEN COMFORTMAX LAUNCH,Adset-2 LAL2,2025-01-26,541.08,41384,,0.0146,19,699.06,1.29,Image,3‑pack deal ends tonight — upgrade your men drawer with athletic briefs.,Lookalike,Instagram,US
Men ComfortMax Launch,Adset-2 LAL2,2025-01-27,632.59,125699,2611.0,0.0208,74,1514.79,2.39,UGC,Stretch that snaps back — durable men trunks.,Broad,Instagram,IN
Men ComfortMax Launch,Adset-2 LAL2,2025-01-28,1024.62,497470,10199.0,0.0205,255,9101.34,8.88,Carousel,Breathable modal that moves with you — limited offer on men athletic briefs.,Broad,Facebook,US
Men_ComfortMax_Launch,Adset-2 LAL2,2025-01-29,156.12,201325,3935.0,0.0195,75,1514.12,9.7,Video,3‑pack deal ends tonight — upgrade your men drawer with trunks.,Lookalike,Instagram,US
men comfortmax launch,Adset-2 LAL2,2025-01-30,1049.43,256137,2849.0,0.0111,61,2214.69,2.11,Image,Invisible under tees — seamless men trunks.,Broad,Instagram,IN
Men  ComfortMax  Launch,Adset-2 LAL2,2025-01-31,402.15,417092,6987.0,0.0168,186,6905.4,17.17,Carousel,Hot & comfy: men briefs now 20% off — feel the difference.,Lookalike,Instagram,IN
Men Comfortmax Launch,Adset-2 LAL2,2025-02-01,702.44,394380,8481.0,0.0215,194,5247.35,7.47,Image,Hot & comfy: men trunks now 20% off — feel the difference.,Lookalike,Facebook,US
Men Comf-rtMax Launch,Adset-2 LAL2,2025-02-02,229.44,434724,6205.0,0.0143,144,4990.61,21.75,Image,Stretch that snaps back — durable men briefs.,Lookalike,Instagram,UK
Men ComfortMax Launch,Adset-2 LAL2,2025-02-03,,286312,5351.0,0.0187,119,4587.18,6.74,Image,Seamless confidence for every day — new men trunks.,Lookalike,Facebook,US
Men  Comf rtMax  Launch,Adset-2 LAL2,2025-02-04,853.76,333371,4872.0,0.0146,119,3109.0,3.64,Image,Doctors recommend breathable bamboo — meet our men athletic briefs.,Lookalike,Instagram,IN
Men Comfortmax Launch,Adset-2 LAL2,2025-02-05,363.48,35236,545.0,0.0155,12,461.68,1.27,Image,Breathable microfiber that moves with you — limited offer on men athletic briefs.,Broad,Instagram,UK
Men ComfortMax Launch,Adset-2 LAL2,2025-02-06,57.63,260230,4460.0,0.0171,127,3224.27,55.95,UGC,Stretch that snaps back — durable men trunks.,Lookalike,Instagram,UK
Men ComfortMax Launch,Adset-2 LAL2,2025-02-07,434.38,357693,5730.0,0.016,191,5602.53,12.9,Carousel,Invisible under tees — seamless men briefs.,Retargeting,Instagram,US
Men  ComfortMax  Launch,Adset-2 LAL2,2025-02-08,436.02,511860,8524.0,0.0167,188,4465.72,10.24,Carousel,Doctors recommend breathable modal — meet our men boxers.,Broad,Instagram,IN
Men_ComfortMax_Launch,Adset-2 LAL2,2025-02-09,804.98,503842,7943.0,0.0158,238,9237.94,11.48,Video,"All‑day comfort, zero pinch — try our men trunks!",Retargeting,Facebook,UK
Men_ComfortMax_Launch,Adset-2 LAL2,2025-02-10,548.01,330119,6298.0,0.0191,170,6716.11,12.26,Carousel,Hot & comfy: men boxers now 20% off — feel the difference.,Broad,Facebook,US
Men_ComfortMax_Launch,Adset-2 LAL2,2025-02-11,496.49,113866,1592.0,0.014,39,985.25,1.98,Carousel,Invisible under tees — seamless men athletic briefs.,Broad,Instagram,IN
Men_ComfortMax_Launch,Adset-2 LAL2,2025-02-12,439.18,243251,4062.0,0.0167,49,1675.83,3.82,Carousel,Stretch that snaps back — durable men boxers.,Broad,Facebook,US
Men  ComfortMax  Launch,Adset-2 LAL2,2025-02-13,520.75,32126,281.0,0.0087,5,122.68,0.24,Video,"Wire‑free ease, cloud‑soft cups — men athletic briefs that fits right.",Broad,Facebook,IN
Men_ComfortMax_Launch,Adset-2 LAL2,2025-02-14,135.97,368852,4977.0,0.0135,144,2933.62,21.58,Image,"All‑day comfort, zero pinch — try our men boxers!",Retargeting,Instagram,IN
MEN COMF RTMAX LAUNCH,Adset-2 LAL2,2025-02-15,433.8,79419,1290.0,0.0162,41,1624.25,3.74,Video,Breathable microfiber that moves with you — limited offer on men trunks.,Lookalike,Facebook,UK
MEN COMFORTMAX LAUNCH,Adset-2 LAL2,2025-02-16,250.79,65120,,0.0139,25,471.32,1.88,Video,Confidence starts inside — elevate with men briefs.,Broad,Facebook,IN
MEN COMFORTMAX LAUNCH,Adset-2 LAL2,2025-02-17,756.79,184440,3283.0,0.0178,101,3051.47,4.03,Carousel,Doctors recommend breathable microfiber — meet our men inner vests.,Lookalike,Instagram,US
Men_ComfortMax_Launch,Adset-2 LAL2,2025-02-18,226.42,42658,555.0,0.013,15,665.23,2.94,Video,Invisible under tees — seamless men trunks.,Retargeting,Instagram,UK
Men ComfortMax_Launch,Adset-2 LAL2,2025-02-19,524.48,294124,4828.0,0.0164,149,3484.76,6.64,UGC,Summer‑ready essentials — sweat‑wicking men briefs.,Retargeting,Facebook,US
Men Comfortmax Launch,Adset-2 LAL2,2025-02-20,122.69,27571,480.0,0.0174,8,331.55,2.7,Image,"Wire‑free ease, cloud‑soft cups — men athletic briefs that fits right.",Broad,Facebook,US
